Age,Mean Expenditures,Mean Income,Mean Food,Mean Food at Home
All,51442.00,63370.00,6599.00,3921.00
Under 25,31411.00,33670.00,4412.00,2529.00
25-34,49544.00,57437.00,6513.00,3680.00
35-44,58069.00,76376.00,7701.00,4490.00
45-54,62103.00,78859.00,7917.00,4707.00
55-64,55636.00,73302.00,6800.00,4012.00
65-74,45968.00,52510.00,5793.00,3719.00
75+,33530.00,33439.00,4141.00,2716.00
