Race,Mean Income,Mean Expenditures,Mean Food,Mean Food at Home
White and All other races a/,63,916,87.0,87.6,87.3
Asian,73,528,4.1,3.9,3.7
Black or African-American,43,482,8.9,8.5,8.9
Hispanic or Latino,48,955,9.8,11.6,12.2
