Region,Mean Income,Mean Expenditures,Mean Food,Mean Food at Home
Northeast,68,179.00,20.1,20.0,19.9
Midwest,59,793.00,21.7,20.9,21.3
South,57,492.00,33.6,34.5,34.0
West,65,447.00,24.5,24.5,24.8
