Education,Mean Income,Mean Expenditures,Mean Food,Mean Food at Home
"Less than high
School graduate",25199.00,24582.00,3913.00,2862.00
High school graduate,38825.00,34786.00,4944.00,3263.00
High school graduate with Some college,47519.00,43041.00,5749.00,3542.00
Associate's degree,60913.00,50836.00,6658.00,3980.00
Bachelor's degree,82083.00,63135.00,7928.00,4379.00
"Master's, professional, doctoral degree",113172.00,82606.00,9143.00,5032.00
