FIPS,"Berries, Other",Berry Totals,Blackberries,Blueberries,Boysenberries,Cranberries,Currants,Loganberries,Raspberries,Strawberries
13215,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13217,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
13219,0.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
13221,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13223,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
13225,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
13227,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13229,0.0,27.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
13231,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0
13233,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
13237,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13241,0.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0
13243,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13245,0.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13247,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13251,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13255,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13257,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13261,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13263,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
13265,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13267,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
13269,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
13273,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13275,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13277,0.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
13279,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
13281,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13285,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13287,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
13289,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13291,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
13293,0.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0
13295,0.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
13297,0.0,9.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0
